name,instruction,muscle_group,equipment,secondary_muscle_group,exercise_id,image_url
Bench Press (Barbell),,chest,barbell,"[""front delts""]",9b998e0f-0c83-4d07-bb12-71a6021f3b99,
Bench Press (Barbell, Wide Grip),,chest,barbell,"[""front delts""]",d28c1e46-2168-4960-aaba-e1640c89e3b4,
Bench Press (Dumbbell),,chest,dumbbell,"[""front delts""]",4debdd9e-9039-4eb0-8789-31e8212fc51d,
Bench Press (Smith),,chest,smith,"[""front delts""]",82dca7ac-8f91-44bd-bf76-eb384cd959d8,
Incline Bench Press (Barbell),,chest,barbell,"[""front delts""]",bc087dec-f8bf-4fab-a93b-67972f6517f1,
Incline Bench Press (Dumbbell),,chest,dumbbell,"[""front delts""]",abfc844d-a015-4dc7-844b-5f11bfe33728,
Incline Bench Press (Smith),,chest,smith,"[""front delts""]",42ace800-4b23-42bb-906e-7e885a22ebf7,
Decline Bench Press (Barbell),,chest,barbell,[],a72065a6-e4b8-42b6-aa33-ded38c09c177,
Decline Bench Press (Dumbbell),,chest,dumbbell,[],4a1041b5-389a-4853-b1ce-7d3e1c6df5b9,
Chest Press (Machine),,chest,machine,"[""front delts""]",66bdf6a6-0f6a-4f13-9866-00ba2924e26a,
Incline Chest Press (Machine),,chest,machine,"[""front delts""]",88c91bb7-dbf3-4f3f-89f7-35c54ffad88f,
Chest Press (Plate-Loaded),,chest,plate-loaded,"[""front delts""]",5fad20ef-d4c1-4b9d-999a-28d35f8ddb8d,
Chest Fly (Dumbbell),,chest,dumbbell,[],a7bd2296-4c6a-42db-8b36-0712a77b4360,
Incline Chest Fly (Dumbbell),,chest,dumbbell,"[""front delts""]",8907a793-21a8-49f5-b3a4-53e5a89af141,
Chest Fly (Cable),,chest,cable,[],f66cf349-69c0-46a7-9681-49816c0b1ade,
Low-to-High Chest Fly (Cable),,chest,cable,"[""front delts""]",46961afa-4016-4255-92e1-35b70ecf840d,
High-to-Low Chest Fly (Cable),,chest,cable,[],e9200ddf-373f-4385-9eff-053e5dd3c1f8,
Pec Deck (Machine),,chest,machine,[],05600499-e706-4d72-85e7-d31437ef6636,
Push-Up (Bodyweight),,chest,bodyweight,"[""front delts""]",ea49b4d7-5070-4b51-bd6d-d83eacbf5727,
Chest Dips (Bodyweight),,chest,bodyweight,"[""front delts""]",cee8a78c-29b9-42ae-8ea4-cb2d44a268fa,
Chest Dips (Assisted),,chest,assisted,"[""front delts""]",5dcdf5e3-dbaa-4a80-b26c-3bd062c0b5b1,
Shoulder Press (Barbell),,side delts,barbell,"[""front delts""]",c5c60b6a-804f-477f-bcff-31ea7b60eb9d,
Shoulder Press (Dumbbell),,side delts,dumbbell,"[""front delts""]",ff3226ba-3337-4a2d-9baf-9880cef9b43f,
Shoulder Press (Machine),,side delts,machine,"[""front delts""]",eb6099bd-ff23-491f-a6cc-920c04c1e390,
Shoulder Press (Machine, Neutral Grip),,side delts,machine,"[""front delts""]",a3f44b30-1f9e-4e5a-8238-704c9c1a413e,
Shoulder Press (Plate-Loaded),,side delts,plate-loaded,"[""front delts""]",14375357-6eac-4abb-a22f-b0116a958f95,
